Variavel,Importancia
TX_RESP_Q09e_Nunca ou quase nunca,0.0017514493
"TX_RESP_Q12_Wi-Fi, Quarto, Freezer, Garagem",0.001747052
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora",0.0017416069
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora, Freezer",0.0017412325
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0017306892
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0017238347
IN_PUBLICA_Pública,0.0017221859
TX_RESP_Q04_Indígena,0.0017211346
TX_RESP_Q04_Preto,0.0017172992
TX_RESP_Q09b_Nunca ou quase nunca,0.0017099527
TX_RESP_Q11a_2,0.0017074107
"TX_RESP_Q12_Quarto, Mesa, Microondas, Lavadora, Freezer",0.0016939268
TX_RESP_Q23h_Várias vezes,0.0016917386
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora, Garagem",0.0016864958
TX_RESP_Q20d_Menos de 1 hora,0.0016859989
TX_RESP_Q03_Outra língua,0.0016737159
TX_RESP_Q12_Lavadora,0.001673027
TX_RESP_Q23h_Nunca ou quase nunca,0.0016661851
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora, Freezer, Garagem",0.0016635092
TX_RESP_Q14_De carro,0.0016606878
TX_RESP_Q11h_3 ou mais,0.0016543122
TX_RESP_Q13_Mais de uma hora,0.0016513059
TX_RESP_Q11h_2,0.0016441442
TX_RESP_Q12g_B,0.0016413655
TX_RESP_Q06_Pai ou Padrasto,0.001634125
"TX_RESP_Q12_Wi-Fi, Mesa, Freezer, Garagem",0.0016273735
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora, Garagem",0.0016224383
TX_RESP_Q11f_1,0.0016202907
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora",0.0016119555
TX_RESP_Q11f_3 ou mais,0.0016095276
"TX_RESP_Q10_Asfalto ou Calcamento: Não, Água tratada: Não, Iluminacão: Sim",0.0016078129
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Sim, Iluminacão: Não",0.0016054728
"TX_RESP_Q12_Microondas, Lavadora, Freezer",0.0016032932
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Lavadora, Freezer",0.0016012761
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora, Freezer, Garagem",0.0016007989
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Lavadora, Garagem",0.0016004563
"TX_RESP_Q12_Quarto, Mesa, Lavadora, Freezer, Garagem",0.0015979339
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora, Freezer",0.0015915829
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0015904707
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora, Garagem",0.0015895881
TX_RESP_Q11d_3 ou mais,0.0015894205
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora, Freezer",0.001589209
TX_RESP_Q14_Outros meios de transporte,0.0015839844
"TX_RESP_Q12_Wi-Fi, Lavadora, Freezer",0.0015815267
TX_RESP_Q13_Menos de 30 minutos,0.001581143
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Freezer, Garagem",0.00156371
TX_RESP_Q12_Wi-Fi,0.0015571683
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora, Freezer",0.0015521769
"TX_RESP_Q12_Wi-Fi, Lavadora, Freezer, Garagem",0.001546396
"TX_RESP_Q06_Pai ou Padrasto, Irmão(s) ou Irmã(s)",0.0015452227
"TX_RESP_Q12_Quarto, Lavadora, Freezer, Garagem",0.0015438492
"TX_RESP_Q12_Aspirador, Lavadora, Freezer",0.00154284
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0015404188
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora, Freezer",0.0015342142
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora, Freezer, Garagem",0.0015298463
TX_RESP_Q11e_2,0.0015290369
TX_RESP_Q08_Ensino Médio completo,0.0015271067
TX_RESP_Q02_18 anos,0.0015250039
ID_LOCALIZACAO_Urbana,0.0015242636
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0015219767
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa",0.0015218682
TX_RESP_Q12e_B,0.0015078089
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora, Freezer, Garagem",0.001506717
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora",0.0015058913
"TX_RESP_Q12_Wi-Fi, Lavadora",0.0015058889
