Variavel,Importancia
TX_RESP_Q12i_B,0.0017739212
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0017680333
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.001767467
TX_RESP_Q23h_Várias vezes,0.0017654453
"TX_RESP_Q12_Wi-Fi, Lavadora, Freezer",0.0017605895
"TX_RESP_Q12_Lavadora, Freezer, Garagem",0.0017537497
"TX_RESP_Q12_Mesa, Lavadora, Freezer, Garagem",0.0017523256
TX_RESP_Q08_Ensino Médio completo,0.0017450629
TX_RESP_Q07_Ensino Médio completo,0.0017183557
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora, Freezer",0.0017131298
TX_RESP_Q12g_B,0.0017124139
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Sim, Iluminacão: Não",0.001686365
TX_RESP_Q09f_Sempre ou quase sempre,0.0016851912
TX_RESP_Q12d_B,0.0016711121
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora, Garagem",0.0016691016
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora, Freezer, Garagem",0.0016667469
TX_RESP_Q12f_B,0.0016644801
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto",0.0016627524
"TX_RESP_Q06_Pai ou Padrasto, Irmão(s) ou Irmã(s)",0.0016610414
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora",0.0016574328
"TX_RESP_Q12_Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0016528133
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0016526433
"TX_RESP_Q06_Mãe ou Madrasta, Irmão(s) ou Irmã(s)",0.0016465749
TX_RESP_Q04_Indígena,0.0016449926
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora, Garagem",0.0016434761
"TX_RESP_Q10_Asfalto ou Calcamento: Não, Água tratada: Sim, Iluminacão: Sim",0.0016413247
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora, Freezer",0.0016411825
TX_RESP_Q09a_Sempre ou quase sempre,0.0016248724
TX_RESP_Q12_Wi-Fi,0.0016242354
TX_RESP_Q14_De bicicleta,0.0016224835
TX_RESP_Q12b_B,0.0016189892
TX_RESP_Q09f_Nunca ou quase nunca,0.0016109229
"TX_RESP_Q12_Wi-Fi, Quarto, Freezer, Garagem",0.0016043818
"TX_RESP_Q12_Mesa, Microondas, Lavadora, Freezer, Garagem",0.0016010784
TX_RESP_Q23g_Nunca ou quase nunca,0.0015984975
"TX_RESP_Q19_Sim, duas vezes ou mais",0.0015973245
"TX_RESP_Q06_Mãe ou Madrasta, Irmão(s) ou Irmã(s), Avô ou Avó",0.0015936416
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora, Freezer",0.0015857263
TX_RESP_Q12e_B,0.0015833142
TX_RESP_Q20b_Não uso meu tempo para isso,0.0015785181
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Lavadora, Freezer, Garagem",0.0015709888
TX_RESP_Q14_Outros meios de transporte,0.0015694224
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora, Freezer, Garagem",0.0015585441
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora, Garagem",0.0015557066
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Freezer",0.0015489224
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto, Avô ou Avó",0.0015443843
TX_RESP_Q23h_Nunca ou quase nunca,0.0015367435
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora, Freezer, Garagem",0.0015360146
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora, Garagem",0.0015326114
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0015297668
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora, Freezer, Garagem",0.001527226
"TX_RESP_Q12_Mesa, Lavadora",0.0015225646
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Garagem",0.0015177083
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0015133652
TX_RESP_Q11d_3 ou mais,0.0015085555
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Freezer, Garagem",0.0015082969
"TX_RESP_Q06_Mãe ou Madrasta, Avô ou Avó",0.0015036246
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Freezer, Garagem",0.001500695
ID_LOCALIZACAO_Urbana,0.0014999475
TX_RESP_Q20d_Menos de 1 hora,0.0014993694
TX_RESP_Q11g_2,0.0014992139
"TX_RESP_Q10_Asfalto ou Calcamento: Não, Água tratada: Sim, Iluminacão: Não",0.0014939684
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0014916023
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora",0.0014889213
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora",0.0014874024
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Garagem",0.0014769286
TX_RESP_Q11a_2,0.0014723712
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora",0.0014665204
TX_RESP_Q09c_Nunca ou quase nunca,0.0014662351
"TX_RESP_Q06_Pai ou Padrasto, Avô ou Avó",0.0014606875
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora, Freezer, Garagem",0.0014599393
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora, Garagem",0.0014518615
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0014477333
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora, Freezer",0.0014467362
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Freezer, Garagem",0.0014442678
"TX_RESP_Q12_Wi-Fi, Lavadora, Garagem",0.0014363648
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0014353936
TX_RESP_Q03_Português,0.0014297478
"TX_RESP_Q12_Quarto, Aspirador, Lavadora, Freezer, Garagem",0.0014282209
"TX_RESP_Q12_Quarto, Mesa, Microondas, Lavadora, Freezer, Garagem",0.0014263978
TX_RESP_Q15_Sim,0.0014238496
"TX_RESP_Q10_Asfalto ou Calcamento: Não, Água tratada: Não, Iluminacão: Sim",0.001418303
"TX_RESP_Q12_Quarto, Lavadora",0.0014164788
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora, Freezer",0.0014115599
TX_RESP_Q20b_Menos de 1 hora,0.0014110683
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora, Garagem",0.0014069233
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Lavadora, Garagem",0.0014051897
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora, Garagem",0.0014010126
TX_RESP_Q12_Freezer,0.0014002258
"TX_RESP_Q12_Wi-Fi, Lavadora, Freezer, Garagem",0.0013994531
"TX_RESP_Q12_Quarto, Microondas, Lavadora, Freezer, Garagem",0.0013977898
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora, Freezer",0.0013908703
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora, Garagem",0.0013841672
"TX_RESP_Q12_Wi-Fi, Freezer, Garagem",0.0013825503
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora, Freezer, Garagem",0.00137988
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Freezer",0.0013796953
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora, Freezer",0.0013794765
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Freezer",0.0013794113
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora, Garagem",0.0013784893
"TX_RESP_Q12_Wi-Fi, Microondas, Freezer, Garagem",0.0013775077
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Freezer, Garagem",0.001377265
"TX_RESP_Q12_Wi-Fi, Lavadora",0.0013758012
"TX_RESP_Q12_Quarto, Mesa, Microondas, Freezer",0.0013743622
"TX_RESP_Q12_Wi-Fi, Aspirador, Garagem",0.0013731945
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0013722134
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora",0.0013718862
TX_RESP_Q11h_2,0.0013713294
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora, Freezer",0.0013658312
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora, Freezer",0.0013602328
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora, Freezer, Garagem",0.0013540162
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora",0.00135371
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Lavadora, Freezer",0.0013511211
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora, Freezer",0.0013504098
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas",0.0013420943
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora",0.0013332639
"TX_RESP_Q12_Wi-Fi, Mesa, Garagem",0.0013147141
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Lavadora, Freezer",0.0013125777
TX_RESP_Q14_De carro,0.0013108714
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Freezer",0.0013079856
TX_RESP_Q02_18 anos,0.0013066899
TX_RESP_Q11f_2,0.0012936002
"TX_RESP_Q12_Quarto, Lavadora, Freezer, Garagem",0.0012924981
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Freezer, Garagem",0.0012921649
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Freezer, Garagem",0.0012872365
TX_RESP_Q06_Mãe ou Madrasta,0.0012853682
"TX_RESP_Q12_Microondas, Freezer, Garagem",0.0012824708
"TX_RESP_Q12_Quarto, Mesa, Lavadora, Freezer, Garagem",0.0012820452
"TX_RESP_Q12_Microondas, Lavadora, Freezer",0.0012762615
"TX_RESP_Q12_Wi-Fi, Freezer",0.0012758408
"TX_RESP_Q12_Microondas, Freezer",0.0012755839
TX_RESP_Q14_De ônibus,0.0012751726
"TX_RESP_Q12_Wi-Fi, Mesa",0.00127107
"TX_RESP_Q12_Wi-Fi, Quarto, Freezer",0.0012705519
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Lavadora, Freezer",0.0012701435
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Garagem",0.0012693852
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Freezer",0.0012690072
"TX_RESP_Q12_Quarto, Mesa, Freezer, Garagem",0.001265404
"TX_RESP_Q12_Microondas, Lavadora",0.0012571838
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Lavadora, Garagem",0.0012549971
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas",0.0012547956
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora, Freezer, Garagem",0.0012517548
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Garagem",0.0012381349
"TX_RESP_Q12_Mesa, Microondas, Lavadora, Freezer",0.0012380752
TX_RESP_Q11h_3 ou mais,0.001234378
TX_RESP_Q12_Garagem,0.0012287344
TX_RESP_Q11d_2,0.0012267266
"TX_RESP_Q12_Quarto, Microondas, Freezer, Garagem",0.0012256228
"TX_RESP_Q12_Wi-Fi, Microondas",0.0012250365
"TX_RESP_Q12_Quarto, Mesa, Microondas, Lavadora, Freezer",0.0012163181
TX_RESP_Q04_Pardo,0.0012073071
"TX_RESP_Q12_Quarto, Microondas, Lavadora",0.0011932
"TX_RESP_Q12_Microondas, Lavadora, Freezer, Garagem",0.0011929402
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Freezer, Garagem",0.0011864533
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora, Garagem",0.0011850044
"TX_RESP_Q12_Lavadora, Garagem",0.0011849252
